action {'piece': 'RC', 'position': (4, 1)}
action {'piece': 'GR', 'position': (3, 3)}
action {'piece': 'YR', 'position': (5, 5)}
action {'piece': 'YC', 'position': (7, 4)}
action {'piece': 'GR', 'position': (5, 3)}
action {'piece': 'GC', 'position': (3, 4)}
action {'piece': 'RR', 'position': (4, 0)}
action {'piece': 'RC', 'position': (2, 5)}
action {'piece': 'BR', 'position': (4, 0)}
action {'piece': 'RR', 'position': (1, 3)}
action {'piece': 'RC', 'position': (6, 5)}
action {'piece': 'GR', 'position': (5, 1)}
action {'piece': 'RR', 'position': (0, 4)}
action {'piece': 'BR', 'position': (0, 4)}
action {'piece': 'YR', 'position': (4, 2)}
action {'piece': 'RR', 'position': (1, 5)}
action {'piece': 'RR', 'position': (4, 4)}
action {'piece': 'BR', 'position': (2, 4)}
action {'piece': 'GR', 'position': (7, 3)}
action {'piece': 'RR', 'position': (4, 8)}
action {'piece': 'BR', 'position': (6, 4)}
action {'piece': 'BR', 'position': (4, 4)}
action {'piece': 'YC', 'position': (4, 3)}
action {'piece': 'RC', 'position': (6, 3)}
action {'piece': 'GR', 'position': (2, 2)}
action {'piece': 'RR', 'position': (3, 7)}
